Title,Duration (mins),Content Rating,Genre,Rating,Vote Count,URL
The Dark Knight,152,PG-13,"Action, Crime, Drama",9.0,2947590,https://www.imdb.com/title/tt0468569/
Schindler&apos;s List,195,R,"Biography, Drama, History",9.0,1487411,https://www.imdb.com/title/tt0108052/
The Lord of the Rings: The Return of the King,201,PG-13,"Action, Adventure, Drama",9.0,2030566,https://www.imdb.com/title/tt0167260/
Se7en,127,R,"Crime, Drama, Mystery",8.6,1853916,https://www.imdb.com/title/tt0114369/
Braveheart,178,R,"Biography, Drama, War",8.3,1110604,https://www.imdb.com/title/tt0112573/
Rocky,120,PG,"Drama, Sport",8.1,644969,https://www.imdb.com/title/tt0075148/
Alien,117,R,"Horror, Sci-Fi",8.5,990978,https://www.imdb.com/title/tt0078748/
Whiplash,106,R,"Drama, Music",8.5,1031351,https://www.imdb.com/title/tt2582802/
The Elephant Man,124,PG,"Biography, Drama",8.2,264043,https://www.imdb.com/title/tt0080678/
Indiana Jones and the Last Crusade,127,PG-13,"Action, Adventure",8.2,824718,https://www.imdb.com/title/tt0097576/
Unforgiven,130,R,"Drama, Western",8.2,444521,https://www.imdb.com/title/tt0105695/
2001: A Space Odyssey,149,G,"Adventure, Sci-Fi",8.3,736690,https://www.imdb.com/title/tt0062622/
One Flew Over the Cuckoo&apos;s Nest,133,R,Drama,8.7,1094345,https://www.imdb.com/title/tt0073486/
The Shawshank Redemption,142,R,Drama,9.3,2966079,https://www.imdb.com/title/tt0111161/
Oldeuboi,120,R,"Action, Drama, Mystery",8.3,656982,https://www.imdb.com/title/tt0364569/
Kimi no na wa.,106,,"Animation, Drama, Fantasy",8.4,339023,https://www.imdb.com/title/tt5311514/
Jurassic Park,127,PG-13,"Action, Adventure, Sci-Fi",8.2,1093598,https://www.imdb.com/title/tt0107290/
Intouchables,112,R,"Comedy, Drama",8.5,953616,https://www.imdb.com/title/tt1675434/
Shichinin no samurai,207,Not Rated,"Action, Drama",8.6,375443,https://www.imdb.com/title/tt0047478/
Aliens,137,R,"Action, Adventure, Sci-Fi",8.4,791770,https://www.imdb.com/title/tt0090605/
